"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789627045464_bgiee","Stay Still","TOKYO GAME SHOW","—","—","Нет","429,00 TL","40%","257,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627045810_99p1b","Nelke & the Legendary Alchemists ~Ateliers of the New World~","TOKYO GAME SHOW","—","—","Нет","2.099,00 TL","77%","482,77 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627046375_u6lrl","Symphonia","TOKYO GAME SHOW","—","—","Нет","699,00 TL","60%","279,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627046791_aaolg","The Bike - Moto Ride Simulator","TOKYO GAME SHOW","—","—","Нет","525,00 TL","35%","341,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627047137_r3lpo","South of the Circle","TOKYO GAME SHOW","—","—","Нет","549,00 TL","70%","164,70 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627047637_em1og","The Sinking Forest - 沈んだ森","TOKYO GAME SHOW","—","—","Нет","549,00 TL","60%","219,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627048620_no8i8","Vanity Fair: The Pursuit","TOKYO GAME SHOW","—","—","Нет","525,00 TL","50%","262,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627049777_xe6p2","Survivor Mercs","TOKYO GAME SHOW","—","—","Нет","515,00 TL","50%","257,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627050195_q5h59","Mercenaries Lament: Requiem of the Silver Wolf","TOKYO GAME SHOW","—","—","Нет","849,00 TL","30%","594,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627051647_uyb6b","The Coma 2: Vicious Sisters","TOKYO GAME SHOW","—","—","Нет","529,00 TL","80%","105,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627052141_plcp6","YEAH! YOU WANT \THOSE GAMES","TOKYO GAME SHOW","—","—","Нет","30%","\ RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM! 2","249,00 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627053122_cjkol","Project 13","TOKYO GAME SHOW","—","—","Нет","209,00 TL","50%","104,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
