"№","Название","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"1027","Tools Up!","CUSA17242","PS4","Нет","699,00 TL","80%","139,80 TL","2026-09-29","Tools Up! - The Renovation Spree Bundle: 1.160,00 TL; Tools Up!: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/234898","2019-12-02","Casual","PEGI_3"
"sale_1789623893665_209","Lost Ember","—","—","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"2454","NARUTO SHIPPUDEN: Ultimate Ninja STORM 2","CUSA07162","PS4","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/203143","2017-08-24","Fighting","PEGI_12"
"2151","Builder Simulator","CUSA44625","PS4","Нет","875,00 TL","55%","393,75 TL","2026-09-29","Frozen Way Tri-Bundle: 1.749,00 TL; Builder Liquidator Bundle: 1.229,00 TL; Builder Simulator: 875,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008859","2023-10-09","Casual","PEGI_3"
"sale_1789623894102_212","Warhammer Pack: Hack and Slash","—","—","Нет","1.749,00 TL","80%","349,80 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"7474","I Am Future: Cozy Apocalypse Survival","PPSA28867","PS5","Нет","849,00 TL","60%","339,60 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10014424","2026-01-08","Simulation","PEGI_3"
"3843","40 Sports Games in 1","PPSA30284","PS4, PS5","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015240","2025-08-28","Sport","PEGI_7"
"2724","Teenage Mutant Ninja Turtles: The","PPSA04490","PS4, PS5","Нет","1.399,00 TL","60%","559,60 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10003357","2022-08-30","Fighting","PEGI_12"
"sale_1789623894728_216","Under The Island","—","—","Нет","849,00 TL","20%","679,20 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1595","Far Lands","PPSA23730","PS5","Нет","649,00 TL","20%","519,20 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011344","2026-07-29","Action","PEGI_16"
"2441","Kill It With Fire VR","PPSA08718","PS4, PS5","Нет","525,00 TL","75%","131,25 TL","2026-09-29","Kill It With Fire VR: 525,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005532","2023-11-07","Adventure","PEGI_7"
"2065","Dakar 18","CUSA11741","PS4","Нет","879,00 TL","85%","131,85 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/231860","2018-10-25","Driving/Racing","PEGI_3"
"2380","Digimon Survive","CUSA18242","PS4","Нет","1.749,00 TL","84%","279,84 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/232350","2022-08-28","Adventure","PEGI_12"
"sale_1789623895235_221","The Great Ace Attorney Chronicles","—","—","Нет","284,01 TL","60%","113,60 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1582","Welcome to ParadiZe","PPSA09257","PS5","Нет","1.399,00 TL","65%","489,65 TL","2026-09-29","Standard Edition: 1.399,00 TL; Zombot Edition: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005724","2024-02-29","Action","PEGI_18"
"3084","Bionic Bay","PPSA23767","PS5","Нет","699,00 TL","75%","174,75 TL","2026-09-29","Bionic Bay: Deluxe Edition: 875,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011377","2025-04-17","Puzzle","PEGI_12"
"2116","Worms Rumble","PPSA01526","PS4, PS5","Нет","529,00 TL","80%","105,80 TL","2026-09-29","Worms Rumble PS4 & PS5: 529,00 TL; Digital Deluxe Edition: 153,80 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000898","2020-11-30","Strategy","PEGI_7"
"1807","The Beast Inside","PPSA10718","PS5","Нет","875,00 TL","80%","175,00 TL","2026-09-29","The Beast Inside: 875,00 TL; The Beast Inside: 875,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10006325","2022-11-29","Action","PEGI_18"
"sale_1789623895740_226","Rue Valley","—","—","Нет","601,00 TL","60%","240,40 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1134","RIDE","CUSA01558","PS4","Нет","69,90 TL","90%","129,90 TL","2026-09-29","","Да","Да","","https://store.playstation.com/en-tr/concept/203782","2015-04-09","Driving/Racing","PEGI_3"
"sale_1789623896289_228","MX Dirt Bike: Unlimited Bike Experience","—","—","Нет","525,00 TL","35%","341,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"2361","Tinykin","PPSA05407","PS4, PS5","Нет","875,00 TL","75%","218,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10003847","2022-08-30","Adventure","PEGI_3"
"6556","Exoprimal","PPSA01623","PS4, PS5","Нет","2.099,00 TL","84%","335,84 TL","2026-09-29","Standard Edition: 2.099,00 TL; Deluxe Edition: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10001095","2023-07-13","Shooter","PEGI_16"
"2458","Endzone - A World Apart","PPSA03662","PS5","Нет","1.749,00 TL","90%","174,90 TL","2026-09-29","Survivor Edition: 1.749,00 TL; Complete Edition: 1.925,00 TL; Survivor Edition PS4: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10002515","2022-05-18","Strategy","PEGI_12"
"1172","House Flipper VR","PPSA23487","PS5","Нет","525,00 TL","60%","210,00 TL","2026-09-29","House Flipper VR: 525,00 TL; House Flipper VR: 525,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10003236","2024-10-21","Casual","PEGI_3"
"2169","Vampire: The Masquerade - Justice","PPSA16432","PS5","Нет","1.049,00 TL","80%","209,80 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008364","2023-11-01","Role Playing Games","PEGI_18"
"2109","Guns Gore and Cannoli 2","CUSA08317","PS4","Нет","455,00 TL","50%","227,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/228733","2018-08-14","Action","PEGI_16"
"1919","Murdered: Soul Suspect","CUSA00342","PS4","Нет","699,00 TL","70%","209,70 TL","2026-09-29","","Да","Да","","https://store.playstation.com/en-tr/concept/202950","2014-06-05","Action","PEGI_16"
"sale_1789623897040_236","Umbrella Corps","—","—","Нет","525,00 TL","65%","183,75 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623897377_237","Umbrella Corps","—","—","Нет","629,00 TL","64%","226,44 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"7272","Hellpoint","PPSA05588","PS4, PS5","Нет","1.229,00 TL","75%","262,25 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/235113","2022-07-12","Action","PEGI_12"
"2881","Killing Floor 2","CUSA05179","PS4","Нет","1.049,00 TL","25%","1.049,25 TL","2026-09-29","Ultimate Edition: 2.099,00 TL; Double Feature: 1.399,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/221915","2016-11-17","Action","PEGI_18"
"1868","City of Hunger VR","PPSA34456","PS5","Нет","537,00 TL","45%","295,35 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017609","2026-01-20","Horror","PEGI_18"
"6010","Demeo","PPSA10635","PS5","Нет","1.399,00 TL","20%","1.119,20 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005676","2023-02-21","Role Playing Games","PEGI_7"
"1921","Infinity Strash: DRAGON QUEST The Adventure of Dai","PPSA09452","PS4, PS5","Нет","1.149,00 TL","60%","459,60 TL","2026-09-29","Standard Edition: 1.149,00 TL; Digital Deluxe Edition: 1.259,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005547","2023-09-27","Action","PEGI_12"
"sale_1789623898145_243","Warhammer 40,000: Shootas, Blood & Teef","—","—","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623898490_244","Pathologic 2","—","—","Нет","1.229,00 TL","75%","307,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"5948","DEAD RISING 2 Off The Record","CUSA04673","PS4","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/212419","2016-09-12","Action","PEGI_18"
"1321","Flesh Made Fear","PPSA35689","PS5","Нет","849,00 TL","20%","679,20 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018392","2026-06-24","Horror","PEGI_18"
"5529","Cities: VR","PPSA10723","PS5","Нет","1.049,00 TL","85%","157,35 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005974","2023-02-21","Simulation","PEGI_3"
"1859","Supermarket Owner Simulator: Business","PPSA31125","PS5","Нет","274,50 TL","30%","318,50 TL","2026-09-29","Supermarket Owner Simulator: Business: 274,50 TL; Supermarket Owner Simulator: Business: 455,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011190","2025-07-31","Simulation","PEGI_3"
"1099","The Escapists 2","CUSA06244","PS4","Нет","192,25 TL","80%","189,00 TL","2026-09-29","The Escapists 2 - Game of the Year Edition: 945,00 TL; The Escapists 2: 192,25 TL; The Escapists  + The Escapists 2: 239,80 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/222885","2017-08-22","Role Playing Games","PEGI_7"
"3845","63 Days","PPSA21022","PS5","Нет","1.499,00 TL","60%","599,60 TL","2026-09-29","63 Days: 1.499,00 TL; 63 Days: 1.299,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010193","2024-09-26","Strategy","PEGI_18"
"5774","CRYSTAR","PPSA20766","PS5","Нет","849,00 TL","80%","169,80 TL","2026-09-29","Standard Edition: 849,00 TL; CRYSTAR: 849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/228691","2024-12-04","Role Playing Games","PEGI_12"
"1803","Spray Paint Simulator","PPSA27129","PS5","Нет","525,00 TL","25%","393,75 TL","2026-09-29","Spray Paint Simulator: 525,00 TL; Spray Paint Simulator: 525,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013245","2025-05-29","Simulation","PEGI_3"
"2353","Tails of Iron","PPSA03777","PS4, PS5","Нет","879,00 TL","88%","105,48 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002244","2021-09-17","Action","PEGI_16"
"878","New Super Lucky's Tale","PPSA34823","PS5","Нет","1.039,20 TL","85%","194,85 TL","2026-09-29","New Super Lucky's Tale: 1.039,20 TL; New Super Lucky's Tale: 1.299,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10000800","2026-03-26","Family","PEGI_3"
"1406","SAMURAI WARRIORS 4","CUSA00783","PS4","Нет","879,00 TL","40%","527,40 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/204492","2014-11-18","Action","PEGI_16"
"5765","Crypt Custodian","PPSA22452","PS4, PS5","Нет","849,00 TL","35%","551,85 TL","2026-09-29","Full Game: 849,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010746","2024-08-27","Adventure","PEGI_7"
"sale_1789623899632_257","Soulslinger: Envoy of Death","—","—","Нет","849,00 TL","60%","339,60 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623899963_258","Xuan Yuan Sword 7","—","—","Нет","1.749,00 TL","60%","699,60 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1153","Waterpark Simulator 25","PPSA34388","PS5","Нет","235,95 TL","45%","235,95 TL","2026-09-29","Waterpark Simulator 25: 235,95 TL; Waterpark Simulator 25: 429,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016856","2025-11-19","Adventure","PEGI_3"
"1092","Incantation","PPSA32745","PS5","Нет","1.079,00 TL","25%","809,25 TL","2026-09-29","Incantation: 1.079,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016664","2026-04-07","Adventure","PEGI_16"
"4180","Ancestors Legacy","CUSA14954","PS4","Нет","1.499,00 TL","75%","374,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/233418","2019-08-12","Strategy","PEGI_18"
"2364","Hellsweeper VR","PPSA13547","PS5","Нет","849,00 TL","65%","297,15 TL","2026-09-29","Standard Edition: 849,00 TL; Deluxe Edition: 1.079,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10007254","2023-09-20","Action","PEGI_18"
"2190","Guns, Gore and Cannoli","CUSA03051","PS4","Нет","349,00 TL","50%","174,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/201805","2015-12-08","Action","PEGI_16"
"2002","Chicory: A Colorful Tale","PPSA03040","PS4, PS5","Нет","849,00 TL","50%","424,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002468","2021-06-10","Adventure","PEGI_7"
"3220","Leisure Suit Larry - Wet Dreams Don't Dry Happy","CUSA14458","PS4","Нет","1.399,00 TL","90%","139,90 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/232684","2019-06-12","Adventure","PEGI_18"
"3651","Blood Omen: Legacy of Kain","PPSA24270","PS4, PS5","Нет","349,00 TL","50%","174,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011076","2024-11-19","Action","PEGI_18"
"sale_1789623900710_267","River City Girls 2","—","—","Нет","1.399,00 TL","50%","699,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"2274","The Council - Complete Season","CUSA10766","PS4","Нет","529,00 TL","70%","158,70 TL","2026-09-29","The Council - Complete Season: 529,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231166","2018-03-12","Role Playing Games","PEGI_16"
"sale_1789623901085_269","UnMetal","—","—","Нет","595,00 TL","75%","148,75 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623901416_270","SNK VS. CAPCOM SVC CHAOS","—","—","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"5310","Capcom","CUSA33213","PS4","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","Capcom Fighting Collection: 1.299,00 TL; Capcom Fighting Collection 1 + 2 Bundle: 2.579,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004083","2022-06-23","Fighting","PEGI_16"
"7833","Knowledge, or know Lady","PPSA30883","PS5","Нет","649,00 TL","30%","454,30 TL","2026-09-29","Knowledge, or know Lady: 649,00 TL; Knowledge, or know Lady: 649,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013320","2025-08-08","Simulation","PEGI_16"
"2900","Oxide Room 104","PPSA07653","PS5","Нет","1.049,00 TL","85%","157,35 TL","2026-09-29","Oxide Room 104: 1.049,00 TL; Oxide Room 104: 879,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004255","2022-06-16","Horror","PEGI_18"
"2489","Children of Morta","CUSA10646","PS4","Нет","949,00 TL","25%","949,00 TL","2026-09-29","Complete Edition: 236,25 TL","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/231069","2019-10-14","Action","PEGI_12"
"916","Unspottable","CUSA27632","PS4","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10001076","2021-06-16","Casual","PEGI_3"
"sale_1789623902159_276","RAIDEN FIGHTERS","—","—","Нет","1.299,00 TL","20%","1.039,20 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623902496_277","UnderMine","—","—","Нет","730,00 TL","60%","292,00 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"3104","Super Meat Boy Forever","CUSA27278","PS4","Нет","215,00 TL","90%","21,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/234606","2021-04-15","Action","PEGI_12"
"sale_1789623902890_279","Urbek City Builder","—","—","Нет","1.049,00 TL","75%","262,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"757","WHAT THE GOLF?","PPSA07441","PS4, PS5","Нет","595,00 TL","50%","297,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002260","2024-03-14","Casual","PEGI_3"
"7420","How 2 Escape","PPSA15229","PS5","Нет","525,00 TL","60%","210,00 TL","2026-09-29","How 2 Escape: 525,00 TL; How 2 Escape: 525,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10007914","2023-08-30","Adventure","PEGI_7"
"1790","RAGE 2","CUSA10300","PS4","Нет","279,80 TL","80%","499,80 TL","2026-09-29","Deluxe Edition: 2.499,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/229997","2019-05-13","Action","PEGI_18"
"1222","Atelier Marie Remake: The Alchemist of Salburg","PPSA10907","PS4, PS5","Нет","1.749,00 TL","60%","699,60 TL","2026-09-29","Standard Edition: 1.749,00 TL; Digital Deluxe Edition: 2.275,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10006379","2023-07-12","Role Playing Games","PEGI_12"
"887","SAMURAI WARRIORS 4 Empires","CUSA03984","PS4","Нет","1.749,00 TL","60%","699,60 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/229579","2016-04-07","Action","PEGI_12"
"3627","Valkyria Chronicles","CUSA03951","PS4","Нет","699,00 TL","75%","624,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/226977","2016-05-31","Role Playing Games","PEGI_16"
"sale_1789623903698_286","Royal Revolt Survivors","—","—","Нет","429,00 TL","30%","300,30 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"4173","Amnesia: Rebirth","CUSA19272","PS4","Нет","999,00 TL","80%","199,80 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10000474","2020-10-19","Adventure","PEGI_18"
"2796","ClusterTruck","CUSA06489","PS4","Нет","525,00 TL","75%","131,25 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/224825","2016-09-29","Action","PEGI_3"
"7870","LABYRINTH OF THE DEMON KING","PPSA12424","PS4, PS5","Нет","699,00 TL","25%","524,25 TL","2026-09-29","LABYRINTH OF THE DEMON KING: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10006880","2025-05-13","Action","PEGI_18"
"1498","MXGP 2019 - The Official Motocross Videogame","CUSA15295","PS4","Нет","107,90 TL","90%","84,90 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/233530","2019-08-26","Driving/Racing","PEGI_3"
"3216","DOOM 64","CUSA16296","PS4","Нет","175,00 TL","60%","70,00 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/234454","2020-03-19","Shooter","PEGI_16"
"1079","Furi","PPSA06146","PS4, PS5","Нет","699,00 TL","70%","209,70 TL","2026-09-29","Furi: 699,00 TL; Modore Edition: 262,50 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/217102","2022-05-17","Action","PEGI_16"
"929","Lost in Random: The Eternal Die","PPSA24579","PS5","Нет","1.079,00 TL","50%","539,50 TL","2026-09-29","Lost in Random: The Eternal Die: 1.079,00 TL; GODBREAKERS & Lost in Random: The Eternal Die bundle: 1.749,00 TL; Fortune Edition: 1.246,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10011792","2025-06-17","Action","PEGI_7"
"sale_1789623904664_295","NOBUNAGA'S AMBITION: Awakening","—","—","Нет","2.999,00 TL","25%","2.249,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"3281","Onee Chanbara Origin","CUSA20273","PS4","Нет","1.749,00 TL","66%","594,66 TL","2026-09-29","Onee Chanbara Origin Deluxe Edition: 2.099,00 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/10000832","2020-10-13","Action","PEGI_18"
"sale_1789623905065_297","War Mongrels","—","—","Нет","1.749,00 TL","70%","524,70 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1301","Bendy: Lone Wolf","PPSA28609","PS4, PS5","Нет","849,00 TL","35%","551,85 TL","2026-09-29","Bendy: Lone Wolf - PS4 & PS5: 849,00 TL; Bendy: Ink Demon's Collection: 1.634,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014263","2025-08-15","Action","PEGI_12"
"1344","SILLY POLLY BEAST","PPSA32694","PS4, PS5","Нет","849,00 TL","20%","679,20 TL","2026-09-29","SILLY POLLY BEAST: 849,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10016634","2025-10-28","Adventure","PEGI_16"
"8002","LISA","PPSA06124","PS4, PS5","Нет","1.079,00 TL","60%","339,60 TL","2026-09-29","LISA: The Painful - Definitive Edition: 849,00 TL; LISA: The Joyful - Definitive Edition: 429,00 TL; LISA: Definitive Edition: 1.079,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004276","2023-07-18","Role Playing Games","PEGI_18"
"8002","LISA","PPSA06124","PS4, PS5","Нет","1.079,00 TL","60%","339,60 TL","2026-09-29","LISA: The Painful - Definitive Edition: 849,00 TL; LISA: The Joyful - Definitive Edition: 429,00 TL; LISA: Definitive Edition: 1.079,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004276","2023-07-18","Role Playing Games","PEGI_18"
"sale_1789623906112_302","Trek to Yomi","—","—","Нет","849,00 TL","75%","212,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"5969","Death's Gambit: Afterlife","CUSA05987","PS4","Нет","849,00 TL","50%","424,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/222833","2018-08-13","Action","PEGI_16"
"2238","Mayhem Brawler","PPSA14463","PS4, PS5","Нет","849,00 TL","75%","212,25 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002637","2023-05-23","Action","PEGI_12"
"2391","GOD EATER 2 Rage Burst","CUSA03370","PS4","Нет","1.749,00 TL","84%","279,84 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/213539","2016-08-29","Role Playing Games","PEGI_12"
"3898","Absolver: Downfall","CUSA06391","PS4","Нет","1.299,00 TL","80%","259,80 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/222909","2017-08-28","Action","PEGI_12"
"sale_1789623906733_307","Wytchwood","—","—","Нет","629,00 TL","65%","220,15 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623907061_308","River City Girls","—","—","Нет","1.049,00 TL","50%","524,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623907397_309","Surviving Mars: Pioneer","—","—","Нет","1.079,00 TL","15%","917,15 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"465","Overcooked","CUSA05399","PS4","Нет","559,00 TL","80%","139,80 TL","2026-09-29","Overcooked: Gourmet Edition: 699,00 TL; Overcooked Holiday Bundle: 699,00 TL; Overcooked: 559,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/221740","2016-08-02","Casual","PEGI_3"
"465","Overcooked","CUSA05399","PS4","Нет","559,00 TL","80%","139,80 TL","2026-09-29","Overcooked: Gourmet Edition: 699,00 TL; Overcooked Holiday Bundle: 699,00 TL; Overcooked: 559,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/221740","2016-08-02","Casual","PEGI_3"
"1520","Cafe Owner Simulator","CUSA44661","PS4","Нет","699,00 TL","70%","209,70 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10008941","2024-01-18","Simulation","PEGI_3"
"6280","Dungeon Defenders: Awakened","CUSA30697","PS4","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10003703","2022-05-24","Strategy","PEGI_7"
"5498","Chornobyl Liquidators","PPSA25715","PS5","Нет","699,00 TL","40%","419,40 TL","2026-09-29","Liquidator Hairdresser Bundle: 1.149,00 TL; Chornobyl Liquidators: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012328","2025-03-11","Adventure","PEGI_16"
"3839","30 Sport Games in 1","PPSA17626","PS5","Нет","879,00 TL","80%","175,80 TL","2026-09-29","30 Sport Games in 1: 879,00 TL; 30 Sport Games in 1: 875,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008873","2023-11-05","Sport","PEGI_7"
"2495","Helicopter Flight Simulator","CUSA49761","PS4","Нет","525,00 TL","60%","210,00 TL","2026-09-29","Helicopter Flight Simulator: 356,95 TL; Helicopter Flight Simulator: 525,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011639","2024-10-14","Adventure","PEGI_3"
"1640","Warzone Chronicles: Virtual Warfare Shooter","CUSA52852","PS4","Нет","525,00 TL","55%","236,25 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013665","2025-02-10","Shooter","PEGI_16"
"sale_1789623908333_317","Shantae and the Seven Sirens PS4 and","—","—","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"2297","Top Gun Air Combat","CUSA31973","PS4","Нет","315,00 TL","30%","220,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10004353","2022-01-21","Shooter","PEGI_7"
"2523","Guacamelee! Super Turbo Championship Edition - PS4 Upgrade","CUSA00319","PS4","Нет","349,00 TL","75%","87,25 TL","2026-09-29","Guacamelee! Super Turbo Championship Edition: 349,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/201687","2014-07-02","Adventure","PEGI_12"
"5066","Bloodshed","PPSA30792","PS4, PS5","Нет","549,00 TL","50%","274,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10015521","2025-10-23","Action","PEGI_16"
"5072","Bloons TD 5","CUSA08065","PS4","Нет","559,00 TL","30%","391,30 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227087","2017-10-19","Strategy","PEGI_3"
"2035","Vagrus - The Riven Realms","PPSA25220","PS5","Нет","1.259,00 TL","50%","629,50 TL","2026-09-29","Extended Edition: 1.259,00 TL; Praetor Edition: 4.299,00 TL; Centurion Edition: 939,60 TL; Extended Edition: 1.259,00 TL; Praetor Edition: 3.899,00 TL; Centurion Edition: 939,60 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10012079","2025-03-31","Role Playing Games","PEGI_16"
"2176","Unplugged - Air Guitar","PPSA11149","PS5","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10006490","2023-02-21","Music/Rhythm","PEGI_12"
"7309","Hidden Cats in Christmas","PPSA34913","PS5","Нет","171,00 TL","30%","119,70 TL","2026-09-29","Hidden Cats in Christmas: 171,00 TL; Hidden Cats in Christmas: 171,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017901","2026-02-04","Puzzle","PEGI_3"
"1853","Grand Rush: Highway Car Traffic Racing Simulator","CUSA48927","PS4","Нет","455,00 TL","35%","295,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011053","2024-08-01","Casual","PEGI_3"
"6174","DORAEMON STORY OF SEASONS","CUSA18501","PS4","Нет","1.749,00 TL","70%","524,70 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/235336","2020-09-03","Adventure","PEGI_3"
