id,gameId,name,publisher,platforms,preorder,price0,edition_prices,edition_names,hasRusVoice,hasRusText,subscriptions,url,releaseDate,genre,pegi,content,isDemo,imageCount
21,PPSA23226,"Black Myth: Wukong","Game Science Interactive Technology Co., Ltd.","PS5",Нет,1.749,30 TL,"Standard Edition: Game Trial; Digital Deluxe Edition: 1.959,30 TL","Standard Edition; Digital Deluxe Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10007144,2024-08-20,"Role Playing Games",PEGI_16,"Black Myth: Wukong for PS5®; Bronzecloud Staff; Folk Opera Mask; Folk Opera Almsgiving Armor; Folk Opera Leather Bracers; Folk Opera Buskins; Wind Chimes; Selected Digital Soundtrack",—,13
22,PPSA23943,"Microsoft Flight Simulator 2024- Standard Edition","Microsoft Corporation","PS5",Нет,1.999,99 TL,"Standard Edition: 1.999,99 TL; Microsoft Flight Simulator 2024 Beta: Not available for purchase; Deluxe Edition: 2.899,99 TL; Premium Deluxe Edition: 3.799,99 TL; Aviator Edition: 5.800,00 TL","Standard Edition; Microsoft Flight Simulator 2024 Beta; Deluxe Edition; Premium Deluxe Edition; Aviator Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10011463,2025-12-08,"Simulator",PEGI_3,"70 Aircraft; 150 Airports; 80 Aircraft; 155 Airports; 95 Aircraft; 160 Airports; 125 Aircraft",—,17
23,PPSA01417,"Marvel's Spider-Man: Miles Morales PS4 & PS5","Sony Interactive Entertainment","PS4, PS5",Нет,459,00 TL,"Standard Edition: Included; Ultimate Edition: 619,00 TL","Standard Edition; Ultimate Edition",Нет,Нет,"PS Plus Extra",https://store.playstation.com/en-tr/concept/10000649,2020-11-11,"Action",PEGI_16,"Marvel's Spider-Man: Miles Morales; Marvel's Spider-Man Remastered",—,17
24,PPSA01547,"Grand Theft Auto VI: Ultimate Edition","Rockstar Games","PS5",Да,3.999,00 TL,"Standard Edition: 3.999,00 TL; Ultimate Edition: 4.999,00 TL","Standard Edition; Ultimate Edition",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10000730,2026-11-18,"Action",PEGI_PROVISIONAL_18,"Grand Theft Auto VI; Vintage Vice City Pack; One Month of GTA+; Ultimate Edition Upgrade",—,18
25,CUSA08519,"Red Dead Redemption 2","Rockstar Games","PS4",Нет,2.099,00 TL,"Standard Edition: Included; Red Dead Online: 699,00 TL; Ultimate Edition: 3.499,00 TL","Standard Edition; Red Dead Online; Ultimate Edition",Нет,Да,"PS Plus Extra",https://store.playstation.com/en-tr/concept/209441,2018-10-25,"Adventure",PEGI_18,"Red Dead Online; Red Dead Redemption 2: Story Mode; Special Edition Content; Ultimate Edition Content",—,13
26,PPSA01468,"Marvel's Spider-Man Remastered","Sony Interactive Entertainment","PS5",Нет,466,78 TL,"Marvel's Spider-Man Remastered: Included; Marvel’s Spider-Man: Game of the Year Edition: Included","Marvel's Spider-Man Remastered; Marvel’s Spider-Man: Game of the Year Edition",Нет,Нет,"PS Plus Extra",https://store.playstation.com/en-tr/concept/10000762,2023-05-03,"Action",PEGI_16,"Marvel's Spider-Man; The City That Never Sleeps:; The Heist; Turf Wars; Silver Lining",—,7
27,PPSA28181,"Days Gone Remastered","Sony Interactive Entertainment","PS5",Нет,2.149,00 TL,"Days Gone Remastered: 2.149,00 TL; Days Gone™: Included; Days Gone™ Digital Deluxe Edition: 2.149,00 TL","Days Gone Remastered; Days Gone™; Days Gone™ Digital Deluxe Edition",Да,Да,"",https://store.playstation.com/en-tr/concept/229018,2025-04-24,"Adventure",PEGI_18,"Days Gone Remastered; Days Gone™; Monkey Wrench Skill Early Unlock; Digital Original Music; Digital Mini Art Book; 3 Bike Skins; PS4 Dynamic Theme",—,17
28,PPSA04027,"Cyberpunk 2077","CD PROJEKT SA","PS4, PS5",Нет,2.799,00 TL,"Cyberpunk 2077: Included; Cyberpunk 2077: Ultimate Edition (PS5): 1.145,00 TL; Cyberpunk 2077: Not available for purchase","Cyberpunk 2077; Cyberpunk 2077: Ultimate Edition (PS5); Cyberpunk 2077",Да,Да,"PS Plus Extra",https://store.playstation.com/en-tr/concept/234567,2022-02-15,"Role Playing Games",PEGI_18,"Стандартное издание",—,17
29,PPSA22721,"The Lord of the Rings: War in the North™ - Legacy Edition","ASPYR MEDIA, INC","PS5",Нет,927,90 TL,"","",Нет,Да,"",https://store.playstation.com/en-tr/concept/10010865,2026-08-11,"Role Playing Games",PEGI_18,"Стандартное издание",—,14
30,PPSA08595,"Diablo® IV - Standard Edition","Blizzard Entertainment, Inc.","PS4, PS5",Нет,1.079,99 TL,"Base Game: 1.079,99 TL; D4 + VOH + LOH BUNDLE: 2.099,25 TL","Base Game; D4 + VOH + LOH BUNDLE",Да,Да,"",https://store.playstation.com/en-tr/concept/231761,2024-06-09,"Unique",PEGI_18,"Diablo® IV for PS4™/PS5®; D4 + Vessel of Hatred™ for PS4™/PS5®; D4 + Lord of of Hatred™ for PS4™/PS5®",—,11
